dt,AverageTemperature,AverageTemperatureUncertainty,Country
1835-09-01,24.038,1.401,India
1835-10-01,22.62,1.061,India
1835-11-01,18.8,1.398,India
1835-12-01,15.693,1.475,India
1836-01-01,16.279,0.967,India
1836-02-01,18.658,1.441,India
1836-03-01,22.974,1.364,India
1836-04-01,26.581,1.242,India
1836-05-01,29.178,1.681,India
1836-06-01,28.739,1.215,India
1836-07-01,26.399,1.314,India
1836-08-01,25.049,1.688,India
1836-09-01,25.011,1.997,India
1836-10-01,23.705,3.851,India
1836-11-01,19.315,1.797,India
1836-12-01,17.222,2.086,India
1837-01-01,16.974,1.75,India
1837-02-01,19.469,1.399,India
1837-03-01,22.557,1.904,India
1837-04-01,25.811,1.412,India
1837-05-01,28.233,1.522,India
1837-06-01,28.064,1.655,India
1837-07-01,26.407,1.122,India
1837-08-01,25.428,0.939,India
1837-09-01,25.252,1.441,India
1837-10-01,23.036,2.075,India
1837-11-01,19.7,2.113,India
1837-12-01,17.264,3.275,India
1838-01-01,14.552,2.209,India
1838-02-01,18.164,1.283,India
1838-03-01,22.433,1.39,India
1838-04-01,27.11,1.428,India
1838-05-01,28.662,1.124,India
1838-06-01,28.632,1.447,India
1838-07-01,27.264,2.69,India
1838-08-01,25.756,2.44,India
1838-09-01,25.333,1.319,India
1838-10-01,23.542,2.895,India
1838-11-01,19.936,2.211,India
1838-12-01,16.931,1.958,India
1839-01-01,17.08,1.502,India
1839-02-01,19.788,1.624,India
1839-03-01,21.856,1.68,India
1839-04-01,27.024,1.343,India
1839-05-01,28.879,1.07,India
1839-06-01,28.301,1.165,India
1839-07-01,26.879,2.26,India
1839-08-01,25.681,1.644,India
1839-09-01,24.73,1.273,India
1839-10-01,23.599,1.702,India
1839-11-01,18.948,1.641,India
1839-12-01,16.172,2.012,India
1840-01-01,17.353,1.914,India
1840-02-01,19.266,2.051,India
1840-03-01,22.937,1.691,India
1840-04-01,27.185,1.651,India
1840-05-01,29.242,1.71,India
1840-06-01,28.615,1.713,India
1840-07-01,27.185,0.99,India
1840-08-01,25.486,1.201,India
1840-09-01,24.75,1.025,India
1840-10-01,23.075,1.54,India
1840-11-01,19.404,3.221,India
1840-12-01,16.844,1.19,India
1841-01-01,16.706,2.494,India
1841-02-01,19.124,1.138,India
1841-03-01,22.343,2.852,India
1841-04-01,26.193,1.596,India
1841-05-01,28.79,1.348,India
1841-06-01,28.487,1.209,India
1841-07-01,27.141,1.226,India
1841-08-01,25.486,1.628,India
1841-09-01,25.078,0.978,India
1841-10-01,22.989,1.365,India
1841-11-01,19.971,1.338,India
1841-12-01,16.821,1.745,India
1842-01-01,16.59,1.433,India
1842-02-01,19.183,1.713,India
1842-03-01,23.559,2.282,India
1842-04-01,27.206,1.459,India
1842-05-01,29.148,0.926,India
1842-06-01,28.21,1.08,India
1842-07-01,26.667,1.407,India
1842-08-01,25.333,1.181,India
1842-09-01,24.59,1.303,India
1842-10-01,23.055,1.293,India
1842-11-01,19.829,1.357,India
1842-12-01,17.601,1.077,India
1843-01-01,17.105,1.641,India
1843-02-01,19.783,1.541,India
1843-03-01,22.84,1.582,India
1843-04-01,26.628,1.305,India
1843-05-01,28.404,1.275,India
1843-06-01,28.228,0.965,India
1843-07-01,26.735,0.963,India
1843-08-01,25.625,1.246,India
1843-09-01,25.035,0.878,India
1843-10-01,23.177,1.147,India
1843-11-01,19.531,0.813,India
1843-12-01,16.657,2.745,India
1844-01-01,16.37,1.056,India
1844-02-01,17.971,1.624,India
1844-03-01,23.072,1.822,India
1844-04-01,26.745,1.123,India
1844-05-01,28.368,1.144,India
1844-06-01,28.341,0.843,India
1844-07-01,26.32,1.029,India
1844-08-01,25.485,2.326,India
1844-09-01,24.646,0.894,India
1844-10-01,23.156,1.013,India
1844-11-01,19.836,0.994,India
1844-12-01,16.819,1.484,India
1845-01-01,16.9,1.44,India
1845-02-01,18.51,2.085,India
1845-03-01,23.43,1.085,India
1845-04-01,26.783,1.599,India
1845-05-01,29.158,0.941,India
1845-06-01,28.252,1.067,India
1845-07-01,26.902,0.941,India
1845-08-01,25.795,0.931,India
1845-09-01,25.258,1.019,India
1845-10-01,23.05,0.994,India
1845-11-01,19.824,0.961,India
1845-12-01,16.256,1.749,India
1846-01-01,17.963,1.621,India
1846-02-01,19.517,1.028,India
1846-03-01,24.426,1.68,India
1846-04-01,26.804,1.485,India
1846-05-01,29.276,1.266,India
1846-06-01,28.723,1.979,India
1846-07-01,27.418,1.776,India
1846-08-01,26.14,1.384,India
1846-09-01,25.14,1.7,India
1846-10-01,22.828,1.218,India
1846-11-01,20.151,1.506,India
1846-12-01,17.244,1.348,India
1847-01-01,17.203,2.948,India
1847-02-01,19.184,1.797,India
1847-03-01,22.714,1.155,India
1847-04-01,27.143,1.142,India
1847-05-01,28.803,1.107,India
1847-06-01,28.256,1.32,India
1847-07-01,26.877,1.378,India
1847-08-01,25.736,1.086,India
1847-09-01,25.202,1.114,India
1847-10-01,23.179,1.108,India
1847-11-01,19.965,1.343,India
1847-12-01,15.558,1.132,India
1848-01-01,15.931,1.7,India
1848-02-01,19.245,1.429,India
1848-03-01,22.931,0.808,India
1848-04-01,26.672,1.183,India
1848-05-01,28.837,1.305,India
1848-06-01,27.942,1.836,India
1848-07-01,26.885,1.544,India
1848-08-01,25.693,1.262,India
1848-09-01,25.08,1.285,India
1848-10-01,23.107,1.24,India
1848-11-01,19.552,0.867,India
1848-12-01,16.856,1.182,India
1849-01-01,16.002,0.947,India
1849-02-01,18.572,1.995,India
1849-03-01,23.277,2.014,India
1849-04-01,26.931,1.744,India
1849-05-01,28.961,0.864,India
1849-06-01,27.975,1.554,India
1849-07-01,26.631,1.065,India
1849-08-01,25.641,1.174,India
1849-09-01,25.006,1.294,India
1849-10-01,23.396,1.518,India
1849-11-01,20.333,1.185,India
1849-12-01,15.966,1.385,India
1850-01-01,15.898,1.358,India
1850-02-01,18.741,1.758,India
1850-03-01,22.975,2.893,India
1850-04-01,26.744,1.297,India
1850-05-01,28.587,0.867,India
1850-06-01,28.79,0.902,India
1850-07-01,27.063,0.888,India
1850-08-01,26.111,1.1,India
1850-09-01,25.492,0.792,India
1850-10-01,24.488,2.35,India
1850-11-01,20.602,3.049,India
1850-12-01,16.564,1.073,India
1851-01-01,16.091,1.211,India
1851-02-01,18.646,1.266,India
1851-03-01,22.994,1.343,India
1851-04-01,26.714,1.263,India
1851-05-01,29.508,1.035,India
1851-06-01,28.498,1.188,India
1851-07-01,26.798,1.41,India
1851-08-01,26.045,1.135,India
1851-09-01,25.681,1.038,India
1851-10-01,24.015,1.537,India
1851-11-01,19.906,1.144,India
1851-12-01,16.926,2.26,India
1852-01-01,16.816,1.927,India
1852-02-01,19.474,1.598,India
1852-03-01,22.372,1.307,India
1852-04-01,26.567,1.643,India
1852-05-01,29.053,1.48,India
1852-06-01,28.549,0.916,India
1852-07-01,26.79,1.313,India
1852-08-01,25.687,1.091,India
1852-09-01,25.395,0.931,India
1852-10-01,23.374,1.275,India
1852-11-01,19.466,1.16,India
1852-12-01,16.997,1.922,India
1853-01-01,15.862,1.72,India
1853-02-01,18.969,2.382,India
1853-03-01,23.503,1.18,India
1853-04-01,26.995,1.385,India
1853-05-01,29.598,0.782,India
1853-06-01,29.362,0.805,India
1853-07-01,27.497,0.862,India
1853-08-01,26.145,0.926,India
1853-09-01,25.714,0.856,India
1853-10-01,23.549,0.847,India
1853-11-01,19.694,1.217,India
1853-12-01,17.097,0.805,India
1854-01-01,16.844,1.46,India
1854-02-01,18.469,1.314,India
1854-03-01,23.49,0.794,India
1854-04-01,26.871,1.636,India
1854-05-01,29.674,1.099,India
1854-06-01,28.847,1.257,India
1854-07-01,27.28,1.2,India
1854-08-01,26.168,1.268,India
1854-09-01,25.409,1.04,India
1854-10-01,24.276,1.319,India
1854-11-01,20.507,1.132,India
1854-12-01,17.274,1.761,India
1855-01-01,17.122,1.595,India
1855-02-01,19.491,1.338,India
1855-03-01,23.327,1.22,India
1855-04-01,27.919,1.514,India
1855-05-01,30.131,1.268,India
1855-06-01,28.851,1.193,India
1855-07-01,27.083,1.228,India
1855-08-01,26.162,1.178,India
1855-09-01,25.429,1.087,India
1855-10-01,23.376,1.257,India
1855-11-01,19.943,1.094,India
1855-12-01,16.271,1.755,India
1856-01-01,16.928,1.195,India
1856-02-01,19.006,1.633,India
1856-03-01,23.084,1.394,India
1856-04-01,26.949,1.088,India
1856-05-01,29.095,1.462,India
1856-06-01,28.716,1.399,India
1856-07-01,26.478,1.176,India
1856-08-01,24.847,1.742,India
1856-09-01,24.87,1.336,India
1856-10-01,22.99,1.082,India
1856-11-01,19.765,1.081,India
1856-12-01,16.776,1.324,India
1857-01-01,16.039,1.239,India
1857-02-01,18.305,1.622,India
1857-03-01,22.687,1.102,India
1857-04-01,26.196,1.136,India
1857-05-01,28.663,1.069,India
1857-06-01,27.666,1.375,India
1857-07-01,26.262,1.314,India
1857-08-01,25.531,1.104,India
1857-09-01,25.11,1.023,India
1857-10-01,22.736,1.533,India
1857-11-01,19.622,1.459,India
1857-12-01,16.757,1.388,India
1858-01-01,17.017,1.717,India
1858-02-01,18.986,1.148,India
1858-03-01,23.347,1.269,India
1858-04-01,27.872,1.387,India
1858-05-01,29.408,1.388,India
1858-06-01,28.51,1.23,India
1858-07-01,26.404,1.252,India
1858-08-01,25.707,1.165,India
1858-09-01,25.259,1.118,India
1858-10-01,23.707,1.25,India
1858-11-01,20.666,1.283,India
